Ano,Empresa,Capital,Trabalho,Producao
1978,3351,2595.39999999188,6.16774665490516,18.8154087231472
1979,3351,2627.10000000975,6.80464856196872,19.952185768197
1980,3351,2640.39999998781,5.5899726970141,15.0688585328014
1981,3351,2627.49999999709,5.52707692310427,15.4755666412615
1982,3351,2610.69999999616,3.78032537167588,11.2121945136014
1983,3351,2606.99999999087,4.02706669327255,13.39576982277
1984,3351,2603.39999999386,4.33391981660957,13.9617156306294
1985,3351,2607.09999998945,3.86442685078995,11.1711516590984
1986,3351,2604.50000001238,3.89421035683578,12.1749433028779
1987,3351,2564.80000001208,4.18200000001488,16.1020000000356
1988,3351,2558.40000000079,4.29606103298999,17.4840592874516
1989,3351,2594.80000000285,4.27579577865794,15.5335282372932
1990,3351,2572.29999999483,4.13041838357029,15.0558098361969
1991,3351,2595.50000000705,3.8768609391223,11.787179967595
1992,3351,2558.59999999249,3.58624314684978,12.2748166870026
1993,3351,2525.50000000478,3.78424318789999,13.300113645425
1994,3351,2550.40000001047,4.21277513608603,19.0843399910942
1958,3353,2470.19999999033,4.20911694015179,11.3258947307374
1959,3353,2572.90000000385,4.99863688297208,12.8262895338433
1960,3353,2637.4999999886,4.60371327171841,11.0356285488929
1961,3353,2724.40000000773,4.74705493649831,11.4786761756256
1962,3353,2795.20000000058,5.07168835878509,12.2580013191626
1963,3353,2838.30000000424,5.52475551690055,14.3043273181553
1964,3353,2892.89999998713,5.71952302913501,12.8282155098896
1965,3353,3048.60000000689,6.21192513146144,13.6505749737106
1966,3353,3286.80000000975,6.98123359229895,16.071744939663
1967,3353,3449.30000000695,6.42139518052144,16.9842364141537
1968,3353,3603.4999999838,6.62904526005469,17.5004434724283
1969,3353,3723.59999999131,7.03139969195104,17.9875630663814
1970,3353,3961.2000000113,6.26519564654979,15.6696627376251
1971,3353,4055.49999999838,6.37976325058883,15.4969787007023
1972,3353,4116.69999999496,6.86319385505984,16.8788245324523
1973,3353,4138.50000001883,7.61361949406915,21.4903529016972
1974,3353,4196.000000016,7.63445054943143,29.8516546311006
1975,3353,4209.09999999648,6.2154781060664,18.9042012618532
1976,3353,4246.20000000087,7.59032761979998,21.5698075537269
1977,3353,4302.80000000925,8.27329225212957,23.1018029436338
1978,3353,4411.40000000667,9.12852250806588,29.8169437817699
1979,3353,4603.0000000127,9.44306455473174,27.7902263003268
1980,3353,4837.40000000122,8.95537829779239,23.822992374469
1981,3353,5117.90000001806,8.92615460780771,23.5522627570817
1982,3353,5251.60000000024,7.50562587731146,13.5361170477347
1983,3353,5251.60000000024,7.86038360439017,16.9407149651802
1984,3353,5353.79999997773,7.55694011616174,18.6876537520218
1985,3353,5495.99999998799,7.2530375924597,18.9242172423536
1986,3353,5558.4999999796,6.90061078837574,23.0717286971964
1987,3353,5713.29999999472,6.5899999999709,17.9000000000589
1988,3353,5923.59999998016,6.66266646922621,18.9531535488412
1989,3353,6128.90000001668,6.52454763261127,17.3705367940467
1990,3353,6427.80000002206,6.45428303521203,22.4900249949226
1991,3353,6583.10000003249,6.06576033127334,22.319852378394
1992,3353,6566.19999998152,6.05928128486231,27.2743673334611
1993,3353,6384.6999999909,5.9172102506943,22.1998486056574
1994,3353,6236.10000000278,5.61299364597499,21.8282188485381
1958,3354,1522.90000000359,2.5993269008561,6.99487832214183
1959,3354,1586.60000000333,3.08781044331023,7.92337122942792
1960,3354,1626.59999999565,2.8454233889002,6.81643195132891
1961,3354,1680.1000000078,2.93190283039675,7.09119422776046
1962,3354,1723.89999999839,3.13100868417159,7.5717203473746
1963,3354,1750.60000000291,3.41334101534474,8.83691053372933
1964,3354,1784.39999999267,3.53274432304941,7.92291859465858
1965,3354,1880.29999999731,3.83677728708963,8.43046982125914
1966,3354,2027.29999999159,4.31053905133336,9.92787875690376
1967,3354,2127.79999999518,3.96606535106646,10.4920735819694
1968,3354,2223.10000000457,4.09484415707291,10.8094445184122
1969,3354,2297.39999999701,4.34366754259034,11.1107923161082
1970,3354,2444.0999999885,3.87070033555832,9.67675083885559
1971,3354,2502.50000000156,3.93969443762461,9.57218661421795
1972,3354,2540.400000003,4.24469644821532,10.425228037121
1973,3354,2503.09999999689,4.79487194938683,12.5308449404463
1974,3354,2554.49999999782,4.39219152275009,15.2943139717294
1975,3354,2516.60000000537,3.0525032794163,9.00246205264391
1976,3354,2452.60000000509,3.76673905075446,10.3851232933412
1977,3354,2409.99999998867,4.55108619828315,11.6939306859677
1978,3354,2412.20000000207,4.88367104032877,13.3701557410332
1979,3354,2419.99999999823,4.96206316696172,14.6842623342854
1980,3354,2407.5999999913,4.5483966605276,12.9421941449796
1981,3354,2401.10000000785,4.34057121095855,11.7021302360736
1982,3354,2370.6000000109,4.02852263981017,10.060184552075
1983,3354,2371.19999999581,4.27939199097896,10.3137965437236
1984,3354,2380.599999991,4.7313677376578,12.9670099047592
1985,3354,2410.99999999718,4.74026535249923,12.3564811698466
1986,3354,2408.30000000894,4.6460679502065,11.3592293112265
1987,3354,2406.40000001078,5.04700000000946,14.0470000000172
1988,3354,2375.00000000299,4.8908556154718,14.6638625353606
1989,3354,2359.29999999371,4.99308613803937,14.1073314317429
1990,3354,2353.99999999948,4.7633846042541,13.1515318577123
1991,3354,2329.19999999309,4.39337198145346,12.3036910099193
1992,3354,2332.10000000549,3.85483130528559,11.6050355246258
1993,3354,2296.00000000125,4.1595332163531,13.7248924688125
1994,3354,2294.70000000934,4.67089625268383,16.5731575739924
1958,3355,188.299999999415,0.347772012940837,0.935757684308273
1959,3355,197.900000000293,0.414780507312298,1.05999462979838
1960,3355,203.699999999438,0.381021068048127,0.912353199638129
1961,3355,211.099999999098,0.394147314464269,0.950793960330782
1962,3355,217.099999999078,0.419514235461769,1.01638408266389
